Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,MA_20,MA_50,MA_200,BB_upper,BB_lower,RSI,MACD,MACD_signal
2020-11-02 00:00:00-05:00,106.13324869085784,107.66041546863478,104.392082791657,105.80252075195312,122866900,0.0,0.0,,,,,,,0.0,0.0
2020-11-03 00:00:00-05:00,106.66824505588043,108.4483131156536,105.7636171410374,107.42696380615234,107624400,0.0,0.0,,,,,,,0.036445837754484955,0.02024768764138053
2020-11-04 00:00:00-05:00,111.02602752282652,112.43646559838648,109.28486148133408,111.81392669677734,138235500,0.0,0.0,,,,,,,0.18247868805492828,0.08673580256496567
2020-11-05 00:00:00-05:00,114.73205582071998,116.35650010587015,113.68152628924996,115.7825927734375,126387100,0.0,0.0,,,,,,,0.38771237890387056,0.1886926373681177
2020-11-06 00:00:00-05:00,115.2905328204704,116.14799861229584,113.15660323122869,115.65106201171876,114457900,0.205,0.0,,,,,,,0.4858370634689777,0.2770863862082117
2020-11-09 00:00:00-05:00,117.41471118065078,118.86655905479424,113.0786522061061,113.34173583984376,154515300,0.0,0.0,,,,,,,0.4369430452910592,0.3204164286779747
2020-11-10 00:00:00-05:00,112.59144977903752,114.57921088296683,111.20780194427196,113.00069427490234,138023400,0.0,0.0,,,,,,,0.38261088566486023,0.3361561865442238
2020-11-11 00:00:00-05:00,114.18947371911923,116.5669949893343,113.45867669287836,116.43058013916016,112295000,0.0,0.0,,,,,,,0.503152345189136,0.3762885038300556
2020-11-12 00:00:00-05:00,116.55724363092018,117.44394006005354,115.5341249324846,116.1577377319336,103162300,0.0,0.0,,,,,,,0.5654326567132983,0.41998174149506584
2020-11-13 00:00:00-05:00,116.38184296677532,116.60594984971524,114.85204177616872,116.20645141601562,81581900,0.0,0.0,,,,,,,0.6038954453018306,0.46118908732363556
2020-11-16 00:00:00-05:00,115.87516977446028,117.89216918384535,115.12488813037272,117.21984100341795,91183000,0.0,0.0,,,,,,,0.6772090385048983,0.5084530183179038
2020-11-17 00:00:00-05:00,116.48904444010536,117.5803631991879,115.91414693604456,116.33313751220705,74271000,0.0,0.0,,,,,,,0.6730381217853392,0.543798996109985
2020-11-18 00:00:00-05:00,115.57311658349964,116.75213491699658,114.9787343957129,115.00796508789062,76322100,0.0,0.0,,,,,,,0.586160165147021,0.5527640912340431
2020-11-19 00:00:00-05:00,114.57922192592288,116.01158523354933,113.8191942363378,115.6023406982422,74113000,0.0,0.0,,,,,,74.09824944260883,0.5479655946042072,0.5517602421588476
2020-11-20 00:00:00-05:00,115.60234248642784,115.72901129196754,114.28690935456356,114.33562469482422,73604300,0.0,0.0,,,,,,69.7527661265398,0.43700065388856046,0.5279713264426413
2020-11-23 00:00:00-05:00,114.17972274018632,114.60845935593927,110.8375441873294,110.93498229980467,127959300,0.0,0.0,,,,,,57.50347184258148,0.14106068115408732,0.44834799998901465
2020-11-24 00:00:00-05:00,110.9934426426896,112.8837656693911,109.7072328936038,112.22117614746094,113874200,0.0,0.0,,,,,,51.004304403631814,-0.006789824486546081,0.35522345680396633
2020-11-25 00:00:00-05:00,112.59147523636938,113.76074761294568,112.22119995101332,113.0591812133789,76499200,0.0,0.0,,,,,,42.05749545316798,-0.06709995225567411,0.2692092813580918
2020-11-27 00:00:00-05:00,113.58534323153174,114.4817857816356,113.24430611291088,113.60482788085938,46691300,0.0,0.0,,,,,,44.17314664506864,-0.07763012183410467,0.19882708639319677
2020-11-30 00:00:00-05:00,113.97510085734368,117.87268484188316,113.8191939296174,116.00184631347656,169410200,0.0,0.0,113.79675941467285,,,119.85330135402286,107.74021747532284,57.537283684588665,0.07143865573596031,0.17305223647425383
2020-12-01 00:00:00-05:00,117.91164950975931,120.30866252291608,116.93725361331916,119.57786560058594,127728200,0.0,0.0,114.48552665710449,,,119.80210266053284,109.16895065367613,65.74893211694592,0.4223438920493834,0.22337471048893207
2020-12-02 00:00:00-05:00,118.89579275045068,120.21123325455888,117.79472798281289,119.92865753173828,89004200,0.0,0.0,115.1106113433838,,,119.84020805030848,110.38101463645911,59.82482876727005,0.7125159021248919,0.321930159675409
2020-12-03 00:00:00-05:00,120.35737264430932,120.61071764794492,119.08091645415566,119.79222869873048,78967600,0.0,0.0,115.50952644348145,,,120.41108151485732,110.60797137210558,60.286789773586136,0.9198423324692442,0.4422226759177295
2020-12-04 00:00:00-05:00,119.46094830759232,119.71429334953903,118.40859884170744,119.11991119384766,78260400,0.0,0.0,115.67639236450195,,,120.83744750289699,110.51533722610691,57.964876976811986,1.023791338675835,0.5590882907317483
